Rating,Title,Comment
1,"Cheap, efficient but have safety issues","Air Asia is cheap and efficient, but with very limited leg room for taller people. <br /><br />But I don&#39;t think they have thought very carefully about the safety issues related to their Hot Seat policy. Because so called hot seats, which include all the front rows and the emergency exit rows are more expensive, they are often empty. I&#39;ve been on flights with nobody in the exit rows (and even worse, the staff sometimes put the tray tables down during the flight to prevent people sitting in the emergency seats... In an emergency that would delay anyone getting to the exit). In any emergency the fact that no-one is there to open the emergency door quickly means there would be a serious delay (every second counts!) to getting out of the plane if you sit near the middle of the plane. <br /><br />Also, I&#39;ve often seen people who would obviously be incapable of opening the emergency doors, which need to also be picked up and thrown out in the event of an emergency. A friend of mine who is 82 was sitting in one on one flight. But no Air Asia staff have the courage to do what is right and ask such people to move. <br /><br />The international safety regulators should look into this! <br /><br />Instead of leaving empty, why not just upgrade suitable people who pay for other seats and offer them an emergency exit seat. That would help ensure quick opening of exits in an emergency. <br /><br />I wonder if there was anyone in those emergency exit seats when the Air Asia flight crashed in Indonesia. In that case it probably wouldn&#39;t have made a difference, but in other cases it might!  <br /><br />Finally, AirAsia is still using plastic cutlery in an age of awareness over Single-use plastic. Why can&#39;t they have reusable utensils...."
1,Beware!!! Mistake or Scam???,"We were refused Boarding due to an Air Asia Ticketing Error. We attempted to contact Air Asia Customer Support to get it rectified. Despite being a Air Asia BIG Loyalty Program Member for more than 5 years we were unable to get it rectified. This was Air Asia&#39;s mistake but they deny liability. Repeated attempts to get Customer Support were useless. You cannot speak with anyone. Are forced to use Automated Response that is ineffective, confusing and frustrating. If you do manage to get to their &quot;Allstars&quot; chat program (communicating by texting ... not voice) then the staff are unhelpful, combative and sometimes rude. Come on Air Asia get your act together. Your Guest Details Booking Page needs to be updated to reflect current Ticketing Requirements, Your Customer Support Systems need a total overhaul and your support staff need to be educated that unless they take care of customers then they won&#39;t have a job. I am now wondering exactly how many other people have had this experience. It must be highly profitable to be paid money for flights and then not have to fly people.<br />After 5 years of flying Air Asia I, and my entire family, are now having to warn people of this situation .... Shame Air Asia!!!"
1,Aweful. Totally disappointed.,Aweful. I am totally disappointed. Worse than nothing. Waste of money. Useless personal will try to do everything so that you have problems and nothing for help.
5,I would book with them again,"I am very happy with the service of AirAsia. Charles Robert C. Bulilan was unbelievably quick, professional and kind moving me to an earlier flight."
1,"NO HELP, BOOKING CANCELLED WITHOUT REFUND","NO HELP, BOOKING CANCELLED WITHOUT REFUND<br />I had a terrible experience with lastminute.com when I wanted to change the dates of my flight. Neither the lastminute.com nor the airline felt responsible or was able to help me. I talked to in total 8 representatives with just being referred from one side to the other. I never learned if it was theoretically possible to change the dates against a fee (which it should be), but CANCELLED the ticket with NO REFUND.<br /><br />I initially contacted lastminute.com to change the date and was then referred to the airline (Thai AirAsia) itself as lastminute couldn&#39;t help me. After talking to 3 different airline customer representatives, they all told me that only lastminute can change the dates. I went back to lastminute and told me that it was the airline. The airline again told me that it was lastminute...you get the idea. No help, just blaming the other side.<br />I would have been fine if someone would have told me that I can&#39;t change the booking, but instead I was trapped in this hamster wheel without getting ANY ANSWER."
1,If you really care your customer then&#8230;,"If you really care your customer then listen my concern and solve it if you really care your customer, hope every cx here is waiting for a reply here.<br />My flight got cancelled on 7th November with PNR: H4RJ6H Flight no:I5715 which was from Pune- Srinager. I got board from pune, as soon as we reahed Delhi,the Airaisa officials announced that the flight will get delay by 1 hour because of bad weather in srinager. After 1 hour new announcement came that the flight got cancelled. When we raised our concern to Airaisa manager at Delhi airport that why you people cancelled the flight, why you didn&#39;t wait for 1 more hour? He was speechless and told that the announcement is from higher officials.<br />Funny part is when approached to cx care they said we can process you only 1000 rs refund while as ticket price was 4676 rs, got was transferred to Manager and manager was not having answer for and she simply disconnect the call.<br /><br />i wish more and more people will read the comment and will be alart if the flight gets cancelled dont let the manager go, fight for arranging the new flight or get the refund on the spot, don&#39;t let them go as they are big fraudesters and it is a scam of airlines nowadays to cancel the flights and initiate little amount."
1,Aisasia worst airlines,Aisasia is one of the worst airlines with extremely bad temper ugly manner Malays who treats customers like rubbish. The airlines have black face Malay who  lack basic manners. The airlines staff would bark at you and shout at you especially if you are Asian. Avoid this low class airlines at all cost
1,RUDE &amp; UNPROFESSIONAL STAFFS IN BINTULU&#8230;,"RUDE &amp; UNPROFESSIONAL STAFFS IN BINTULU AIRPORT (Silo &amp; Nomi) <br />Used &#8220;F&#8221; word during the conversation with customer. <br />When wanted to lodge a complaint, <br />Was told &#8220;go ahead &amp; lodge the complaint it is very normal to us&#8221; by the staffs <br />No patience &amp; inexperienced in handling customer&#8217;s issues. LOW EQ. <br />No apologies to customer. <br />No proper channel to address customer&#8217;s issues. <br /><br />Been a loyal customer, however this kind of staff&#8217;s manner is intolerable. &amp; proper action should be taken. <br />THE BEST LOW COST AIRLINE IN THE WORLD IS A JOKE. Proven to be LOW QUALITY as well. <br /><br />Management is a total failure, <br />After 10 years no improvement made for customer service, compared to other airlines, Airasia is only getting worse. Very disappointing."
1,Horrible customer service.,Horrible customer service.<br />-D James
1,THE WORST!!!,"THE WORST!!!<br /><br />I flew twice with them and twice Non Dangerous Goods have been removed out of my main luggage. Goods with sentimental value. <br /><br />On top of that - Ground Staff have been terrible and even bullied me into booking another flight.<br /><br />Never in my entire life would I have thought, this is a thing! &#128545;"
5,Bought ticket to Thailand few days ago,Bought ticket to Thailand few days ago. The service is great I mean like I don&#39;t even have to wait. I bought online though maybe my Internet connection is really great. Some people said the site is always down. The price is really cheap. I can&#39;t wait to buy again the ticket online to celebrate New Year.
1,Why bother saying u have a sale from&#8230;,Why bother saying u have a sale from 3rd nov 2019 when the site is down all the time
3,The worst possible booking experience&#8230; with a positive outcome.,"Update (14.11.2019):<br />After a long odyssey, we were actually able to get a good solution with AirAsia. This was an extremely cumbersome process, but I want to acknowledge the fact that they ended up supporting us. Also the overall transportation was well organised and got us to our destination. Thanks for that! <br /><br />Original post: <br />The worst possible booking experience and even worse customer service. Booked a connection and got a different one confirmed. Attempted several times to get in touch with customer service through the &quot;allstar service&quot;. Connection is being deliberately interrupted, the problem is being neglected even though it is reproducible. It is so frustrating to waste so much time with this when you&#39;re traveling. Recommend to avoid them whenever possible!<br />One star is probably already too much..."
1,How NOT to go from Sihanoukville to Singapore,"My biggest complaint about this company is their lack of integrity.  I tried to change a flight date. Something they say you can do , as long as it is NOT within 2days of departure. Those are reasonable terms. 12days before my flight I attempted to change my date of departure. (Vacation gone wrong). I was unable to find a way of making contact by phone, so I used their &#8220;online assistant&#8221; Ava.<br />The response was that I was not allowed to change my destination, when all I wanted to do was change the date..... and this was before I even entered my confirmation code???   Obviously they had &#8220; glitches&#8221; in this program, so after 3 attempts, and with our time running short, we elected to just go to the airport to sort things out.  <br />    The customer service person at the airport (very nice person, by the way) assured us we could change the flights. All we had to do was, wait three days for the next available flight, and pay an additional $540 USD on a flight for which we had paid only $230 USD!<br />   To make a long complaint short, we took a 5 hr taxi ride to the next airport and caught an Air Asia flight to Kuala Lumpur, where our connection flight to Singapore was to depart from.    Not possible. No credit. No flight. Nothing.    (They WOULD refund our airport tax.)<br />Buy new ticket was the best option they could provide.     My suggestion is fly with another airline, unless you are 100% sure your plans are not going to change.  PS This was the first airline I ever flown ( I&#8217;m now 67) that did not even provide a drink of water. (You could pre-order food and drink.)."
1,Ripped me off,"Ripped me off wose then I have ever been in my life. I paid for baggage online then they said i didnt so i had to pay 5x the price at the airport and ended up charging me $414 usd for 2 average sized bags for a 4 hour flight, which is more than double what i paid for the flight. No custmer service, no help. They have extorted me and I will be going out of my way to tell everyone how bad they are"
1,I would rather give them zero,"I would rather give them zero. This company doesn&#8217;t respect customers at all. They changed flight schedule, which is agreeable according to contract but I have not been refunded for 3 months since then. They should be cash rich company since they don&#8217;t give you proper refund. Be aware of AirAsia and I will never use it."
1,My husband and I got our boarding&#8230;,"My husband and I got our boarding passes in PEN for flight to KUL and PER on flight AK 6129 on 15 October 2019 and, D7236 to Perth. We had only one 20kg check in luggage all the way to Perth. Our boarding pass show Gate no 5 so we waited close to the departure gate. Our boarding time is 20.35. We waited for approximately an hour when we realised that our flight is already due for boarding. We quickly approached one ground staff and was told that the Gate has been moved to Gate no 7 . We rushed to Gate no 7 and was told that the aircraft doors are closed and they cannot re open the door.They have make the necessary announcement and we have missed the flight. Our check in luggage has been offloaded.<br />We asked them why there is no notification or why they didn&#39;t send a representative to the original gate to notify us. They said that all announcement were made but since it was so noisy and the announcement was so muffled we didn&#39;t hear it. They were not helpful and didn&#39;t care to have anything to do with us.We were left on our own to find a new flight back to Perth.<br />I believe AirAsia is responsible for the negligence to inform us of the change and I hope this will not happen again to other fellow passengers booking with AirAsia."
1,Worst airline ever.,Airline change destination to kertajati after purchased tickets. I have to pay idr300000 extra for bus tickets. And has to travel another 3 hours on each way. No any compansation. They offer refund which will show up on my card after 1-3 months. Have to avoid this nightmare airline.
1,Cheats,"Absolutely terrible customer service!<br /><br />I booked through Expedia and was told at the last minute that my outward flight had been booked, but the return hadn&#39;t.  This necessitated a call to the AirAsia.  I had to get the number from Expedia.  I was told by Expedia that AirAsia have MANY different numbers most of which do not work.  I waited on hold for over thirty minutes.  Nothing.  I tried this for several days before calling Expedia who were able to sort the problem.  <br /><br />I had to cancel my flight for personal reasons but could NEVER reach or contact AirAsia.  Expedia advised me just to leave it.  <br /><br />The company is a sham.  Avoid AirAsia AT ALL COSTS!"
