Rating,Title,Comment
1,Awful customer service,"Awful customer service. Never will I book with them again. No phone number to make a complaint, only an email address or online booking form. The response time, relating to a next day flight, is 48 hours! The phone number online, is only for reservations. Reservations can&#39;t deal with complaints. The online booking form never works, with constant error codes, like &#39;United Kingdom&#39; not recognised. They broke my suitcase. I had to buy another one. Do not book with this lazy airline. I won&#39;t be using them for business or personal travel again. Disgusting service with bad attitudes. The Supervisor told me today, we don&#39;t do good will gestures!"
1,Poor Service. 14 days later and my ticket still has not been changed.,"It has been a frustrating 2 weeks dealing with Malaysian Airlines. I&#39;ve been on the phone with them over the past 14 days to try and get my ticket changed from an am flight to a pm flight. <br />I was told once when i had called that they would call me back in 20 minute to confirm a booking. I waited from 3am-5am and never got a call back. It&#39;s the same process every time i try to call. They offer call backs or put your on very long holds that it&#39;s pointless waiting any longer.<br />To change my ticket I&#39;ve had to make an additional payment of $18 but because of issues on their end, the payment hasn&#39;t been able to go through.They said this was a common issue and they will resolve this with their team and call me back. I called them again 72 hours later and was told the ticket price has gone up and i would now have to pay $68 instead of $18. After a heated arguement, they offered to bring it down to $48, but because of the way their payment system is supposedly setup, they payment did not go through and i&#39;m back to square one where. I&#39;m unsure if this is every going to get resolved but i will not be flying Malaysian Airlines again."
3,Not getting back my money for refund&#8230;,Not getting back my money for refund after my flight got delayed and i&#39;ll never use same this flight company again. Cing cong cing cong
1,Probably one of the worst companies out&#8230;,"Probably one of the worst companies out there. So my flight got delayed over 24 hours, and I demanded a full credit refund or a free change of flight but the company refuses everything. Upon looking at my ticket which is shown I can get a full refund, every agent I speak to from the company just hangs up the phone. The agent I booked throigh trip.com is exactly the same. Avoid this scam company!"
2,I really wanted to give 5 stars but it all fell apart when we reached Heathrow.,"I really wanted to give 5 stars and was geared up to this right up until we arrived at Heathrow and found my luggage had not been loaded on the plane when we were in transit in Kuala Lumpur. <br />Our actual flights were faultless. The cabin staff were the most smiley, friendly and helpful we have experienced and the food was plentiful and good. Unfortunately a company&#39;s reputation is only as good as the weakest link in its operation and in this case its ability to actually put the luggage on the flight and the subcontractor in Heathrow who deals with three passengers who had the same problem.<br />In Heathrow one member of staff treated us with disinterest and said she had dealt with more than her fair share of customers and was not serving any more, leaving the painfully slow queue to the one remaining staff member who, she said, &quot;should speed up his work&quot;."
1,Terrible experience,"Hi There,<br /><br />I would like to send this complaint to the customer service department regards to my recent experience with your airline. I tried to send an email to the one it is available online but all of was rejected( wrong email addresses for customer service and your managers!!!)<br />My Husband and I were returning from Iran via Oman air and Malaysian airline on Sunday 28th of July on flight number : 141 and confirmation number: RATD6U for flight 9.10 am to Sydney.<br />When we arrived from Oman to Malaysia we visited the transfer desk for our checking card we were notified that we are not able to take our flight that we have booked it 2 month in advance and the reason was that airline over sold the tickets and whoever arrived earlier could take our seats and take the flight! ( never had this experience with other airlines.)<br /><br />My complaint is how can you sell my seats to someone else that I have booked and paid in advance?( you are hoping we do not show up???)<br />My husband and I are running two big businesses in Sydney and we have organised a few important meetings on Monday morning but unfortunately due to your staff decision we could not take the flight back home and it cost us so much damages because we could not be in Sydney on time.<br />*Who is going to cover my damages due to your overselling our seat to someone else?<br /><br />We asked the girls on transfer desk to ask the manager to come and explain this situation and guess what your duty manger ( MR Abdul Halim Zaki) did not care!, did not apologise and did not help us with any solution and in return he yelled at us and said he is not going to help us and we do not have any option and we have to wait another 14 hours in Malaysia to take another flight. He is such an unprofessional manager and did not care about customer problems and keep saying that it is not his problem and we do need to contact customer service. Can you please tell me why he is even there?<br />if he cannot do anything or if he is not responsible there?<br />He yelled at us and left the counter and left us with other girls that they did not know what they have to do with this situation (what a responsible and polite person you picked for your duty manager).<br /><br />We asked for any solutions but unfortunately no one was responsible for this problem, the flight left and we could not come back to Sydney on Sunday.<br />We asked the girls on the counter to at least make sure that our luggage does not get lost and please make sure that our luggage is sent on the same flight as us to Sydney, we visited transfer counter twice to make sure they have got all the details regards to our luggage, They assured us our luggage would be on the same flight both times.  and guess what??<br />One of our luggage did not arrive to Sydney with us and was still in Malaysia and the other one arrived badly damaged , the wheels are not working properly and lots of scratches on it even we have pre wrapped the luggage. (please check the attachments).<br />I bought my luggage recently and during this changed flight and cancelation my luggage was damaged badly.<br /><br /><br />Very disappointed with your airline and customer service in Malaysia. I think you need to change your Duty manger before makes more embracement for your brand."
1,Terrible website and service,"Terrible website, a disgrace for an airline. Website doesn&#39;t work under Chrome or Firefox, only internet explorer or edge ! is this a joke ?<br />Moreover somehow when you choose things in a drop down (destination, date, etc...), it has a tendancy to change by itself, this happened to me and they were not willing to do anything to help, just charged me 200 USD for changing the date &quot;as per our terms and conditions&quot;.<br />If you are willing to book an MH flight, do it through an agency website not their own !"
1,Never again,"It is more than 1 week that I send email to the global customer support to cancel and get a refund for 4 flights. I never received a reply from Malaysia Airline. Finally yesterday I decided to call them from overseas which cost a lot and the person told me that I will receive a confirmation email of the cancellation in 10 minutes time. So far 24 hours after, I never received any news ! Hopeless. Now one of my flight that I want to cancel is supposed to be tomorrow 1 June 2019 and I clearly hope that MAS will not play the game that they will not refund me this flight as I do not have a confirmation email from them. Because according to the ticket rules, when after departure first flight, it is not possible to get a refund. MAS do not care about the customer and I am exasperated by their casual attitude. I stop flying with them, I think it is better like this."
1,The world&#39;s worst airline,"The world&#39;s worst airline. If them managing to lose an airplane whilst it was mid-flight wasn&#39;t enough to put you off, then hopefully this review will.<br /><br />Malaysia Airlines overbooked our return flight back from KUL to LHR - we arrived to the airport a good two hours before the flight was due to depart, but were told it was overbooked and we were not permitted on (along with around 25 others) as we had not checked in online in advance. Having just come from Laos/Cambodia, we did not have the internet to do so.<br /><br />As a result, 25 of us were bumped on to the next flight, 12 hours later (consequently causing another 25 or so passengers from that flight to be told they were &#39;overbooked&#39;) and so on. Apparently, this is a practice Malaysia Airlines commonly do in order to ensure full flights and profit maximisation. Interestingly, it is only flights going back to Europe from SE Asia which are impacted, as customers have less protection there.<br /><br />We received NOTHING from the airline, despite it being entirely within their control. We also later found we were not protected by EU/UK regulations as we were out of EU airspace. <br /><br />The flights both ways were packed, check-in staff are rude and unfriendly and the air-stewardesses seem overworked and are grumpy, and irritated by the slightest thing. At one point, I asked for some more water and the stewardess looked as if she were about to implode.<br /><br />Having returned to the UK and sending over 20 emails, the most I could get back from them was a flight voucher for around £100pp which expired in four months time. <br /><br />It goes without saying, I will never fly with them again."
5,Have to say the service on this flight&#8230;,Have to say the service on this flight had to be the best we have encountered even though we were in economy. Not once did the air hostesses pull the curtains across the gallery like they do after food has been served as on so many long haul flights we have been on. The choice of films and music was excellent.<br />Food was excellent only complaint that the lighting it was so dim you could not read
